"","community_garden","notes","community_center","restrooms_available","skate_park","historic_features","mountain_bike_trails","park_name","picnic_shelters","hiking_trails","picnic_shelters_quantity","disc_golf","football_multi_purpose_fields","tennis_courts","playground","canoe_launch","swimming_pool","mapped_location.human_address","mapped_location.needs_recoding","baseball_fields","spray_park","ada_accessible","nature_center","walk_jog_paths","boat_launch","basketball_courts","camping_available_by_permit","dog_park","fishing_by_permit","volleyball","soccer_fields","acres","horse_trails","golf_course","lake","mapped_location.latitude","mapped_location.longitude"
"1","No","Ball field","No","No","No","No","No","12th Street Ballfield","No","No","0","No","No","No","No","No","No","{""address"":""1201 Elliston St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","No","No","No","No","No","No","No","No","No","No","2.39","No","No","No",NA,NA
"2","No","Nature Center","No","Yes","No","No","No","Alvin G. Beaman Park","No","Yes","0","No","No","No","No","No","No","{""address"":""5911 Old Hickory Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","Yes","No","No","No","No","No","No","No","No","2168.79","No","No","No","36.260013","-86.893379"
"3","Yes","Greenway Trailhead, Canoe Launch on Blue Hole Rd near Antioch Pike","Yes","Yes","No","No","No","Antioch Park","Yes","No","1","No","No","No","Yes","No","No","{""address"":""5023 Blue Hole Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","No","No","No","No","No","No","7.98","No","No","No",NA,NA
"4","No"," ","No","No","No","No","No","Bass Park","No","No","0","No","No","No","No","No","No","{""address"":""1604 Holly St"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","No","No","No","No","No","No","No","No","0.18","No","No","No","36.175438","-86.741596"
"5","No","Caboose Park, Amphitheater, Leathers' Children's Playground, Dance Area","Yes","Yes","No","No","No","Bellevue Park","Yes","No","3","No","No","Yes","Yes","No","No","{""address"":""656 Colice Jeanne Rd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","17.14","No","No","No","36.072144","-86.934617"
"6","No","Nature Center, call nature center to schedule camping","No","Yes","No","No","No","Bells Bend Park","No","Yes","0","No","No","No","No","Yes","No","{""address"":""4187 Old Hickory Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","809.59","No","No","No","36.150289","-86.91876"
"7","No"," ","No","No","No","No","No","Bordeaux Garden Park","No","No","0","No","No","Yes","Yes","No","No","{""address"":""Snell Blvd"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","12.26","No","No","No",NA,NA
"8","No"," ","No","No","No","No","No","Bordeaux-Timothy Drive Park","No","No","0","No","No","No","Yes","No","No","{""address"":""4100 Timothy Dr"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","16.81","No","No","No","36.214349","-86.844608"
"9","No","Greenway Trailhead","No","No","No","No","No","Brookmeade Park","No","No","0","No","No","No","No","No","No","{""address"":""7002 Charlotte Pike"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","No","No","No","No","No","No","No","14.14","No","No","No","36.129242","-86.904736"
"10","No","Walking trail","No","No","No","No","No","Browns Creek Park","No","No","0","No","No","No","No","No","No","{""address"":""817 PARK TER"",""city"":""Nashville"",""state"":""TN"",""zip"":""""}",FALSE,"No","No","No","No","Yes","No","No","No","No","No","No","No","0.35","No","No","No","36.113979","-86.776404"
